date,team,opponent,home_away,result,home_score,visitor_score,overtime,games,goals,assists,points,sh_att,so_g,fouls,red_cards,yellow_cards,gc,goal_app,ggs,goalie_min_plyd,ga,saves,shutouts,combined_sho,g_wins,g_loss,d_saves,corners,pk,pk_att,defensive_goals,defensive_assists,defensive_points,defensive_sh_att,defensive_so_g,defensive_fouls,defensive_red_cards,defensive_yellow_cards,defensive_gc,defensive_goal_app,defensive_ggs,defensive_goalie_min_plyd,defensive_ga,defensive_saves,defensive_shutouts,defensive_combined_sho,defensive_g_wins,defensive_g_loss,defensive_d_saves,defensive_corners,defensive_pk,defensive_pk_att,na.x,na.y
2021-04-03,Abilene Christian Wildcats,Central Ark.,Away,Win,2,3,NA,1,3,2,8,12,6,18,0,2,0,0,0,90:00,2,4,0,0,0,0,0,4,1,1,2,1,5,11,6,5,0,1,0,0,0,90:00,3,3,0,0,0,0,0,2,0,0,NA,NA
2021-04-09,Abilene Christian Wildcats,UIW,Home,Win,0,2,NA,1,2,2,6,16,7,11,0,0,0,0,0,90:00,0,3,1,0,0,0,0,7,0,0,0,0,0,4,3,12,0,1,0,0,0,90:00,2,5,0,0,0,0,0,2,0,0,NA,NA
2021-04-13,Abilene Christian Wildcats,"UIW Beaumont, TX",Away,Win,0,3,NA,1,3,1,7,16,6,7,0,0,0,0,0,90:00,0,3,1,0,0,0,0,4,0,0,0,0,0,14,3,7,0,0,0,0,0,90:00,3,3,0,0,0,0,0,4,0,0,NA,NA
2021-04-15,Abilene Christian Wildcats,"Sam Houston Beaumont, TX",Away,Loss,1,0,NA,1,0,0,0,27,7,6,0,0,0,0,0,90:00,1,3,0,0,0,0,0,2,0,0,1,0,2,9,4,5,0,0,0,0,0,90:00,0,7,1,0,0,0,0,5,0,0,NA,NA
2021-03-06,Air Force Falcons,Colorado Col.,Home,Loss,1,0,NA,1,0,0,0,4,2,7,0,0,0,0,0,90:00,1,3,0,0,0,0,0,2,0,0,1,2,4,12,4,4,0,0,0,0,0,90:00,0,2,1,0,0,0,0,5,0,0,NA,NA
2021-03-11,Air Force Falcons,Wyoming,Home,Win,1,2,2OT,1,2,1,5,25,14,7,0,0,0,0,0,102:51,1,5,0,0,0,0,0,4,1,1,1,1,3,8,6,14,0,1,0,0,0,102:51,2,12,0,0,0,0,0,5,0,0,NA,NA
2021-03-19,Air Force Falcons,Utah St.,Away,Loss,5,0,NA,1,0,0,0,18,10,7,0,1,0,0,0,90:00,5,4,0,0,0,0,0,3,0,1,5,6,16,17,9,9,0,2,0,0,0,90:00,0,10,1,0,0,0,0,4,0,0,NA,NA
2021-03-21,Air Force Falcons,New Mexico,Away,Loss,4,0,NA,1,0,0,0,6,2,8,0,0,0,0,0,90:00,4,6,0,0,0,0,0,4,0,0,4,4,12,19,10,6,0,0,0,0,0,90:00,0,2,1,1,0,0,0,3,0,1,NA,NA
2021-03-26,Air Force Falcons,Colorado St.,Away,Loss,1,0,NA,1,0,0,0,8,4,2,0,1,0,0,0,90:00,1,7,0,0,0,0,0,4,0,0,1,0,2,13,8,9,0,1,0,0,0,90:00,0,4,1,0,0,0,0,1,0,0,NA,NA
2021-03-28,Air Force Falcons,Wyoming,Away,Win,0,1,NA,1,1,1,3,6,4,12,0,0,0,0,0,90:00,0,7,1,0,0,0,0,4,0,0,0,0,0,11,7,2,0,0,0,0,0,90:00,1,3,0,0,0,0,0,4,0,0,NA,NA
2021-04-02,Air Force Falcons,New Mexico,Home,Loss,2,0,NA,1,0,0,0,7,3,7,0,0,0,0,0,90:00,2,6,0,0,0,0,0,4,0,0,2,3,7,16,8,14,0,0,0,0,0,90:00,0,3,1,0,0,0,0,4,0,0,NA,NA
2021-04-04,Air Force Falcons,Utah St.,Home,Loss,2,0,NA,1,0,0,0,12,2,11,0,1,0,0,0,90:00,2,4,0,0,0,0,0,7,0,1,2,4,8,15,6,19,0,3,0,0,0,90:00,0,2,1,0,0,0,0,4,0,0,NA,NA
2021-03-04,Akron Zips,Bowling Green,Home,Loss,3,0,NA,1,0,0,0,5,2,11,0,0,0,0,0,90:00,3,2,0,0,0,0,0,3,0,0,3,3,9,14,5,15,0,2,0,0,0,90:00,0,2,1,1,0,0,0,4,0,0,NA,NA
2021-03-07,Akron Zips,Kent St.,Away,Loss,1,0,NA,1,0,0,0,7,2,9,0,0,0,0,0,90:00,1,6,0,0,0,0,0,5,0,0,1,1,3,12,7,17,0,1,0,0,0,90:00,0,2,1,0,0,0,0,3,0,0,NA,NA
2021-03-14,Akron Zips,Ohio,Away,Loss,3,0,NA,1,0,0,0,1,0,1,0,0,0,0,0,90:00,3,4,0,0,0,0,0,4,0,0,3,1,7,18,7,1,0,0,0,0,0,90:00,0,0,1,0,0,0,0,5,0,0,NA,NA
2021-03-18,Akron Zips,Buffalo,Home,Draw,0,0,2OT,1,0,0,0,7,2,10,0,1,0,0,0,110:00,0,5,1,0,0,0,0,2,0,0,0,0,0,7,5,6,0,1,0,0,0,110:00,0,2,1,0,0,0,0,1,0,0,NA,NA
2021-03-21,Akron Zips,Miami (OH),Home,Loss,1,0,NA,1,0,0,0,14,6,5,0,0,0,0,0,90:00,1,2,0,0,0,0,0,1,0,1,1,1,3,7,3,9,0,0,0,0,0,90:00,0,6,1,0,0,0,0,1,0,0,NA,NA
2021-03-28,Akron Zips,Kent St.,Home,Win,0,1,NA,1,1,1,3,10,4,13,0,1,0,0,0,90:00,0,4,1,0,0,0,0,9,0,0,0,0,0,10,4,6,0,0,0,0,0,90:00,1,3,0,0,0,0,0,4,0,0,NA,NA
2021-04-04,Akron Zips,Ohio,Home,Win,0,2,NA,1,2,2,6,11,5,7,0,0,0,0,0,90:00,0,8,1,0,0,0,0,5,0,0,0,0,0,12,8,8,0,1,0,0,0,90:00,2,3,0,0,0,0,0,4,0,0,NA,NA
2021-04-08,Akron Zips,Buffalo,Away,Loss,3,2,NA,1,2,3,7,6,6,9,0,0,0,0,0,90:00,3,8,0,0,0,0,0,2,0,0,3,4,10,19,11,12,0,0,0,0,0,90:00,2,4,0,0,0,0,0,10,1,1,NA,NA
2021-04-11,Akron Zips,Miami (OH),Away,Win,2,3,NA,1,3,2,8,10,7,10,0,0,0,0,0,90:00,2,9,0,0,0,0,0,4,0,0,2,3,7,18,11,9,0,1,0,0,0,90:00,3,4,0,0,0,0,0,3,0,0,NA,NA
2020-09-19,Alabama Crimson Tide,Tennessee,Home,Win,1,3,NA,1,3,2,8,15,8,10,0,0,0,0,0,90:00,1,5,0,0,0,0,0,8,1,1,1,0,2,17,6,7,0,1,0,0,0,90:00,3,5,0,0,0,0,0,5,0,0,NA,NA
2020-09-25,Alabama Crimson Tide,Mississippi St.,Away,Draw,1,1,2OT,1,1,0,2,12,7,15,1,2,0,0,0,110:00,1,3,0,0,0,0,0,4,0,0,1,0,2,11,4,11,0,1,0,0,0,110:00,1,6,0,0,0,0,0,7,0,0,NA,NA
2020-10-04,Alabama Crimson Tide,Florida,Away,Loss,2,1,NA,1,1,0,2,8,3,14,0,2,0,0,0,90:00,2,10,0,0,0,0,0,4,0,0,2,4,8,18,12,9,0,1,0,0,0,90:00,1,2,0,0,0,0,0,2,0,0,NA,NA
2020-10-11,Alabama Crimson Tide,Arkansas,Home,Loss,2,1,1OT,1,1,0,2,7,2,12,0,1,0,0,0,90:23,2,8,0,0,0,0,0,6,0,0,2,2,6,18,10,8,0,2,0,0,0,90:23,1,1,0,0,0,0,0,6,0,0,NA,NA
2020-10-18,Alabama Crimson Tide,Ole Miss,Home,Loss,2,0,NA,1,0,0,0,10,3,10,0,1,0,0,0,90:00,2,4,0,0,0,0,0,9,0,0,2,1,5,8,5,8,0,1,0,0,0,90:00,0,3,1,0,0,0,0,2,0,0,NA,NA
2020-10-23,Alabama Crimson Tide,LSU,Away,Draw,3,3,2OT,1,3,2,8,12,7,21,0,1,0,0,0,110:00,3,6,0,0,0,0,0,6,0,0,3,3,9,16,9,19,1,3,0,0,0,110:00,3,4,0,0,0,0,0,5,0,0,NA,NA
2020-10-30,Alabama Crimson Tide,Texas A&M,Home,Loss,2,0,NA,1,0,0,0,7,2,11,0,1,0,0,0,90:00,2,2,0,0,0,0,0,4,0,0,2,2,6,10,4,10,0,0,0,0,0,90:00,0,2,1,0,0,0,0,10,0,0,NA,NA
2020-11-06,Alabama Crimson Tide,Auburn,Away,Win,0,1,NA,1,1,1,3,7,2,13,0,1,0,0,0,90:00,0,3,1,0,0,0,0,2,0,0,0,0,0,12,3,5,0,0,0,0,0,90:00,1,1,0,0,0,0,0,7,0,0,NA,NA
2020-11-13,Alabama Crimson Tide,"LSU Orange Beach, AL",Away,Loss,2,0,NA,1,0,0,0,21,10,6,0,3,0,0,0,90:00,2,5,0,0,0,0,0,12,0,0,2,2,6,16,7,10,0,3,0,0,0,90:00,0,10,1,0,0,0,0,1,0,0,NA,NA
2021-02-19,Alabama Crimson Tide,Columbus St.,Home,Win,0,2,NA,1,2,1,5,9,4,9,0,0,0,0,0,90:00,0,3,1,0,0,0,0,2,1,1,0,0,0,4,3,10,0,0,0,0,0,90:00,2,2,0,0,0,0,0,6,0,0,NA,NA
2021-02-26,Alabama Crimson Tide,Louisiana,Home,Win,0,1,NA,1,1,1,3,15,8,9,0,1,0,0,0,90:00,0,5,1,0,0,0,0,6,0,0,0,0,0,12,5,5,0,0,0,0,0,90:00,1,7,0,0,0,0,0,3,0,0,NA,NA
2021-03-04,Alabama Crimson Tide,Montevallo,Home,Win,0,1,NA,1,1,0,2,11,3,7,0,0,0,0,0,90:00,0,2,1,0,0,0,0,4,0,0,0,0,0,9,2,3,0,0,0,0,0,90:00,1,2,0,0,0,0,0,1,0,0,NA,NA
2021-03-07,Alabama Crimson Tide,Lipscomb,Away,Win,0,1,1OT,1,1,1,3,11,3,12,0,0,0,0,0,92:29,0,3,1,0,0,0,0,7,0,0,0,0,0,4,3,9,0,0,0,0,0,92:29,1,2,0,0,0,0,0,3,0,0,NA,NA
2021-03-13,Alabama Crimson Tide,"Texas Tech Bossier City, LA",Away,Loss,1,0,NA,1,0,0,0,6,0,0,0,0,0,0,0,90:00,1,3,0,0,0,0,0,10,0,0,1,1,3,6,4,0,0,1,0,0,0,90:00,0,0,1,0,0,0,0,2,0,0,NA,NA
2021-03-21,Alabama Crimson Tide,South Alabama,Away,Win,2,4,NA,1,4,7,15,12,9,10,0,0,0,0,0,90:00,2,4,0,0,0,0,0,6,0,0,2,4,8,10,6,4,0,0,0,0,0,90:00,4,5,0,0,0,0,0,5,0,0,NA,NA
2021-03-27,Alabama Crimson Tide,Auburn,Home,Loss,2,1,NA,1,1,2,4,1,1,12,0,0,0,0,0,90:00,2,6,0,0,0,0,0,5,0,0,2,3,7,18,8,9,0,0,0,0,0,90:00,1,0,0,0,0,0,0,7,0,0,NA,NA
2021-04-03,Alabama Crimson Tide,Clemson,Away,Loss,1,0,1OT,1,0,0,0,8,4,9,0,3,0,0,0,97:17,1,5,0,0,0,0,0,0,0,0,1,0,2,11,6,9,0,0,0,0,0,97:17,0,4,1,0,0,0,0,2,1,1,NA,NA
2021-02-24,Alabama A&M Bulldogs,Alabama Huntsville,Home,Loss,1,0,NA,1,0,0,0,10,4,4,0,0,0,0,0,90:00,1,7,0,0,0,0,0,6,0,0,1,0,2,10,8,4,0,1,0,0,0,90:00,0,4,1,0,0,0,0,2,0,0,NA,NA
2021-03-05,Alabama A&M Bulldogs,Grambling,Home,Loss,2,1,1OT,1,1,1,3,8,5,12,0,1,0,0,0,95:22,2,10,0,0,0,0,0,4,0,0,2,0,4,22,12,5,0,2,0,0,0,95:22,1,4,0,0,0,0,0,4,0,0,NA,NA
2021-03-07,Alabama A&M Bulldogs,Ark.-Pine Bluff,Home,Win,0,2,NA,1,2,1,5,14,9,6,0,3,0,0,0,90:00,0,5,1,0,0,0,0,5,1,1,0,0,0,8,5,8,0,1,0,0,0,90:00,2,7,0,0,0,0,0,2,0,0,NA,NA
