date,team,opponent,home_away,result,home_score,visitor_score,overtime,g,goals,assists,points,shots,sog,man_up_g,man_down_g,gb,to,ct,fo_won,f_os_taken,pen,pen_time,g_min,goals_allowed,saves,w,l,t,rc,yc,clears,att.x,clear_pct.x,otg.x,defensive_g,defensive_goals,defensive_assists,defensive_points,defensive_shots,defensive_sog,defensive_man_up_g,defensive_man_down_g,defensive_gb,defensive_to,defensive_ct,defensive_fo_won,defensive_f_os_taken,defensive_pen,defensive_pen_time,defensive_g_min,defensive_goals_allowed,defensive_saves,defensive_w,defensive_l,defensive_t,defensive_rc,defensive_yc,defensive_clears,att.y,clear_pct.y,otg.y,na.x,na_2.x,na_3.x,na_4.x,na_5.x,na_6.x,na.y,na_2.y,na_3.y,na_4.y,na_5.y,na_6.y
2021-04-16,Binghamton Bearcats,Stony Brook,Away,FALSE,8,22,NA,1,8,4,12,27,19,0,0,34,19,6,15,34,3,120,60:00,22,11,0,0,0,0,0,15,20,0.75,NA,1,22,15,37,46,33,2,0,46,15,6,19,34,0,0,60:00,8,11,0,0,0,0,0,23,25,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-04-24,Binghamton Bearcats,Vermont,Home,FALSE,10,7,NA,1,10,4,14,38,21,1,0,28,15,12,4,20,2,60,60:00,7,15,0,0,0,0,0,19,21,0.905,NA,1,7,2,9,41,22,0,0,30,16,5,16,20,3,180,60:00,10,11,0,0,0,0,0,18,20,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-05-02,Binghamton Bearcats,UMass Lowell,Away,FALSE,11,9,NA,1,11,7,18,36,25,3,0,37,24,13,12,21,8,360,60:00,9,9,0,0,0,0,0,26,27,0.963,NA,1,9,7,16,33,18,3,0,27,20,4,9,21,4,210,60:00,11,14,0,0,0,0,0,21,26,0.808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-20,Boston U. Terriers,Merrimack,Away,FALSE,15,12,NA,1,15,8,23,35,16,1,0,30,21,7,15,29,4,180,60:00,12,17,0,0,0,0,0,20,21,0.952,NA,1,12,6,18,56,29,2,0,40,13,8,14,29,6,330,60:00,15,1,0,0,0,0,0,18,20,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-27,Boston U. Terriers,Pace,Home,FALSE,15,2,NA,1,15,9,24,58,32,5,0,32,12,10,11,19,4,150,60:00,2,9,0,0,0,0,0,21,25,0.84,NA,1,2,0,2,21,11,0,0,14,23,3,8,19,9,360,60:00,15,17,0,0,0,0,0,18,23,0.783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-06,Boston U. Terriers,Army West Point,Home,FALSE,10,12,NA,1,10,6,16,43,27,1,0,31,14,12,11,27,0,0,60:00,12,12,0,0,0,0,0,20,22,0.909,NA,1,12,5,17,45,24,0,0,42,18,10,16,27,1,60,60:00,10,17,0,0,0,0,0,19,25,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-12,Boston U. Terriers,Holy Cross,Away,FALSE,16,6,NA,1,16,13,29,42,27,1,0,24,16,11,6,26,5,240,60:00,6,16,0,0,0,0,0,26,29,0.897,NA,1,6,3,9,34,22,1,0,29,25,8,20,26,4,150,60:00,16,11,0,0,0,0,0,19,25,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-20,Boston U. Terriers,Colgate,Home,FALSE,16,11,NA,1,16,7,23,50,31,1,0,34,13,9,13,28,2,180,60:00,11,11,0,0,0,0,0,23,23,1,NA,1,11,4,15,28,22,1,0,31,21,5,15,28,4,180,60:00,16,15,0,0,0,0,0,20,27,0.741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-03-27,Boston U. Terriers,Lafayette,Away,FALSE,13,9,NA,1,13,7,20,38,28,0,0,37,21,11,11,26,2,120,60:00,9,16,0,0,0,0,0,21,29,0.724,NA,1,9,5,14,40,25,0,0,42,19,13,15,26,0,0,60:00,13,15,0,0,0,0,0,17,20,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-04-03,Boston U. Terriers,Utah,Home,FALSE,10,11,2,1,10,5,15,53,23,1,0,38,21,9,14,24,3,180,64:28,11,9,0,0,0,0,0,22,24,0.917,NA,1,11,5,16,39,20,1,0,32,21,10,10,24,2,120,64:28,10,13,0,0,0,0,0,18,24,0.75,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
