Date,Team,Opponent,Home / Away,Result,Home Score,Visitor Score,Overtime,Home Goals,Home Assists,Home Points,Home Shots,Home Shots on Goal,Home Ground Balls,Home Turnovers,Home Caused Turnovers,Home Faceoffs Won,Home Faceoffs Taken,Away Goals,Away Assists,Away Points,Away Shots,Away Shots on Goal,Away Groundball's,Away  Turnovers,Away  Caused Turnovers,Away  Faceoffs Won,Away  Faceoffs Taken,Home Goals Allowed,Home Saves,Away Goals Allowed,Away Saves
2024-03-17,Cornell,Princeton,Away,L,15,14,NA,15,10,25,46,26,40,15,9,14,32,14,5,19,48,26,38,15,14,18,32,14,12,15,11
2024-03-23,Cornell,Yale,Home,W,18,15,NA,18,11,29,39,32,33,13,10,14,35,15,6,21,48,28,44,14,8,21,35,15,13,18,14
2024-03-30,Cornell,Penn,Away,W,10,11,2,10,5,15,36,27,25,18,7,14,26,11,6,17,33,22,22,16,10,12,26,11,11,10,17
2024-04-02,Cornell,Syracuse,Home,W,18,17,2,18,12,30,55,33,33,13,14,13,36,17,14,31,42,32,36,20,9,23,36,17,15,18,15
2024-04-06,Cornell,Brown,Home,L,14,8,NA,14,11,25,45,31,30,17,7,14,26,8,2,10,52,32,37,12,10,12,26,8,24,14,17
2024-04-14,Cornell,"Notre Dame Brookvill, NY",Away,W,17,18,NA,17,12,29,45,30,40,12,6,18,38,18,8,26,50,32,39,11,6,20,38,18,14,17,13
2024-04-20,Cornell,Harvard,Home,L,15,8,NA,15,11,26,41,28,34,21,11,13,26,8,4,12,35,24,31,23,11,13,26,8,16,15,13
2024-04-27,Cornell,Dartmouth,Away,L,15,10,NA,15,11,26,52,35,30,11,7,11,28,10,7,17,50,28,49,18,5,17,28,10,18,15,20
2024-05-03,Cornell,Penn,Home,W,9,13,NA,9,5,14,45,28,33,8,10,12,26,13,5,18,35,24,28,14,1,14,26,13,11,9,19
2024-02-17,Dartmouth,Bucknell,Away,W,13,15,NA,13,7,20,32,21,32,18,8,16,32,15,9,24,44,23,38,17,10,16,32,15,8,13,8
2024-02-24,Dartmouth,Holy Cross,Home,L,14,8,NA,14,11,25,38,24,37,17,10,13,25,8,4,12,34,23,38,19,10,12,25,8,15,14,10
2024-02-26,Dartmouth,"Lehigh Hartford, Conn.",Away,L,6,11,NA,6,0,6,32,21,38,18,10,11,20,11,5,16,32,21,40,23,14,9,20,11,10,6,15
2024-03-02,Dartmouth,Siena,Away,L,12,11,NA,12,9,21,43,27,42,17,9,18,27,11,7,18,33,20,29,25,10,9,27,11,9,12,15
2024-03-05,Dartmouth,"Stony Brook Avon, Conn.",Away,W,12,15,NA,12,7,19,45,26,39,21,8,16,31,15,7,22,43,25,37,14,10,15,31,15,10,12,14
2024-03-14,Dartmouth,Vermont,Away,L,11,10,NA,11,9,20,30,21,28,20,8,14,25,10,4,14,40,21,34,18,11,11,25,10,11,11,10
2024-03-19,Dartmouth,Georgetown,Away,L,9,21,NA,9,8,17,27,20,25,18,6,13,34,21,12,33,44,33,43,16,11,21,34,21,12,9,11
2024-03-23,Dartmouth,Penn,Home,W,8,11,NA,8,6,14,31,18,37,24,14,11,22,11,7,18,32,20,49,25,12,11,22,11,9,8,10
2024-03-30,Dartmouth,Princeton,Away,L,5,15,NA,5,0,5,30,20,21,14,6,11,24,15,9,24,55,36,31,9,9,13,24,15,21,5,15
2024-04-06,Dartmouth,Harvard,Away,L,7,13,NA,7,2,9,33,18,38,24,6,15,24,13,9,22,47,25,43,14,14,9,24,13,12,7,11
2024-04-13,Dartmouth,Yale,Home,L,13,20,NA,13,8,21,36,27,44,20,8,17,36,20,12,32,65,39,43,12,11,19,36,20,19,13,14
2024-04-20,Dartmouth,Brown,Away,W,11,14,NA,11,7,18,36,26,27,19,11,15,28,14,6,20,53,29,33,19,7,13,28,14,15,11,15
2024-04-27,Dartmouth,Cornell,Home,L,10,15,NA,10,7,17,50,28,49,18,5,17,28,15,11,26,52,35,30,11,7,11,28,15,20,10,18
2024-02-10,Delaware,Lafayette,Home,L,14,6,NA,14,10,24,65,32,44,13,11,18,24,6,5,11,36,20,21,21,6,6,24,6,14,14,18
2024-02-17,Delaware,St. John's (NY),Away,W,17,6,NA,17,8,25,60,28,30,14,1,12,25,6,3,9,30,17,23,14,3,13,25,6,11,17,11
2024-02-24,Delaware,Penn,Away,W,10,11,NA,10,3,13,39,26,29,6,6,6,24,11,8,19,45,26,36,17,3,18,24,11,15,10,16
2024-03-02,Delaware,Michigan,Home,W,8,13,NA,8,5,13,36,20,25,20,9,9,25,13,6,19,31,22,32,22,14,16,25,13,9,8,12
2024-03-09,Delaware,Monmouth,Away,W,16,7,NA,16,8,24,45,23,47,17,10,21,27,7,2,9,27,16,26,11,6,6,27,7,9,16,7
2024-03-16,Delaware,"Syracuse Chantilly, Va.",Away,L,6,14,NA,6,3,9,37,23,20,10,2,9,23,14,11,25,50,34,26,9,5,14,23,14,20,6,17
2024-03-23,Delaware,Hofstra,Home,W,13,10,NA,13,9,22,29,20,29,14,6,15,26,10,2,12,41,21,23,11,5,11,26,10,11,13,7
2024-03-30,Delaware,Hampton,Away,W,21,3,NA,21,15,36,52,39,39,9,14,14,27,3,1,4,20,13,25,24,4,13,27,3,10,21,18
2024-04-06,Delaware,Fairfield,Away,W,14,6,NA,14,8,22,50,29,22,10,14,10,23,6,1,7,32,21,26,20,8,13,23,6,15,14,15
2024-04-13,Delaware,Stony Brook,Home,W,16,12,NA,16,11,27,49,29,30,13,7,12,31,12,6,18,43,33,28,10,4,19,31,12,21,16,13
2024-04-20,Delaware,Drexel,Away,W,13,6,NA,13,7,20,56,34,38,10,9,12,24,6,2,8,38,23,24,17,3,12,24,6,17,13,21
2024-04-26,Delaware,Towson,Home,L,10,11,NA,10,6,16,44,24,32,18,7,12,24,11,6,17,44,24,29,10,11,12,24,11,13,10,14
2024-05-02,Delaware,"Fairfield Towson, Md.",Away,L,13,12,1,13,2,15,46,23,34,15,5,18,29,12,8,20,41,27,27,10,6,11,29,12,15,13,10
2024-05-04,Delaware,Towson,Away,L,6,15,NA,6,6,12,27,12,22,24,10,10,24,15,10,25,42,27,35,20,13,14,24,15,12,6,6
2024-02-03,Denver,Johns Hopkins,Away,L,13,12,1,13,7,20,46,25,24,9,3,14,26,12,7,19,35,20,21,15,3,12,26,12,8,13,12
2024-02-10,Denver,Air Force,Home,L,11,9,NA,11,7,18,31,21,35,28,14,17,24,9,5,14,33,23,32,21,18,7,24,9,14,11,10
2024-02-17,Denver,Utah,Away,W,16,8,NA,16,7,23,38,25,29,18,13,18,27,8,4,12,42,22,30,17,6,9,27,8,14,16,9
2024-02-24,Denver,Cornell,Home,W,17,16,NA,17,13,30,48,28,42,7,6,22,37,16,9,25,43,28,26,13,1,15,37,16,12,17,11
2024-03-02,Denver,Le Moyne,Home,L,15,6,NA,15,9,24,52,29,30,9,12,15,23,6,2,8,18,7,20,21,4,8,23,6,1,15,14
2024-03-10,Denver,Yale,Home,L,13,15,NA,13,8,21,43,24,17,14,4,13,32,15,7,22,57,26,28,15,5,19,32,15,11,13,11
2024-03-17,Denver,Ohio St.,Away,L,9,6,NA,9,4,13,35,19,24,18,5,13,19,6,4,10,34,19,30,17,11,6,19,6,13,9,10
2024-03-24,Denver,"Duke Severn, Md.",Away,L,7,11,NA,7,0,7,33,16,29,15,2,12,22,11,5,16,31,21,20,13,5,10,22,11,10,7,9
2024-03-30,Denver,Villanova,Away,L,9,6,NA,9,6,15,35,22,28,23,14,13,19,6,2,8,30,13,21,22,12,6,19,6,7,9,13
2024-04-05,Denver,St. John's (NY),Home,L,18,8,NA,18,15,33,46,30,33,11,7,18,30,8,3,11,28,14,20,15,6,12,30,8,6,18,12
2024-04-13,Denver,Georgetown,Home,L,10,8,NA,10,6,16,34,17,29,15,7,12,22,8,6,14,31,18,30,17,6,10,22,8,10,10,7
2024-04-20,Denver,Providence,Away,L,7,4,NA,7,3,10,38,16,32,21,10,11,14,4,1,5,28,14,25,17,9,3,14,4,10,7,9
2024-04-26,Denver,Marquette,Home,L,15,9,NA,15,9,24,33,22,33,13,10,16,28,9,3,12,32,16,25,17,7,12,28,9,7,15,7
2024-05-02,Denver,Villanova,Away,L,9,10,NA,9,6,15,40,21,36,22,11,15,21,10,6,16,39,17,31,20,15,6,21,10,7,9,12
2024-05-11,Denver,Michigan,Home,W,16,11,NA,16,12,28,41,24,31,13,9,14,31,11,7,18,41,21,23,13,4,17,31,11,10,16,8
2024-05-19,Denver,"Syracuse Towson, Md.",Away,W,10,8,NA,10,4,14,38,19,31,18,10,12,22,8,3,11,36,18,37,13,9,10,22,8,10,10,9
2024-05-25,Denver,"Notre Dame Philadelphia, Pa.",Away,L,6,13,NA,6,2,8,30,18,24,15,12,5,23,13,7,20,35,23,44,20,10,18,23,13,10,6,12
2024-02-13,Detroit Mercy,Marquette,Away,L,8,22,NA,8,3,11,36,20,21,17,5,11,34,22,12,34,47,33,28,16,7,23,34,22,11,8,12
2024-03-02,Detroit Mercy,"VMI Powell, Ohio",Away,W,10,15,NA,10,4,14,35,22,20,22,6,7,29,15,7,22,45,28,41,22,8,22,29,15,13,10,12
2024-03-05,Detroit Mercy,Rutgers,Away,L,5,17,NA,5,2,7,26,14,25,19,7,11,26,17,7,24,53,29,39,12,8,15,26,17,12,5,9
2024-03-12,Detroit Mercy,Ohio St.,Away,W,10,16,NA,10,4,14,24,15,28,16,9,6,28,16,6,22,52,31,52,13,8,22,28,16,15,10,5
2024-03-16,Detroit Mercy,Mercer,Home,L,11,17,NA,11,3,14,38,25,34,21,12,8,32,17,9,26,54,36,54,15,14,24,32,17,19,11,14
2024-03-20,Detroit Mercy,Robert Morris,Away,W,12,13,1,12,7,19,38,26,16,16,7,4,27,13,9,22,50,30,41,17,8,23,27,13,17,12,14
2024-03-23,Detroit Mercy,Utah,Away,L,9,21,NA,9,3,12,31,22,24,17,6,11,34,21,15,36,63,40,41,14,12,23,34,21,19,9,13
2024-03-30,Detroit Mercy,Queens (NC),Home,L,12,7,NA,12,5,17,44,25,25,12,8,7,23,7,4,11,37,19,33,22,7,16,23,7,12,12,13
2024-04-06,Detroit Mercy,Lindenwood,Away,W,12,8,NA,12,7,19,46,23,33,13,2,15,24,8,3,11,43,24,24,9,2,9,24,8,16,12,11
2024-04-10,Detroit Mercy,Jacksonville,Home,W,9,21,NA,9,3,12,32,20,26,15,7,12,32,21,15,36,50,34,34,11,9,20,32,21,13,9,11
2024-04-13,Detroit Mercy,Air Force,Home,W,3,14,NA,3,2,5,30,17,24,15,5,6,20,14,9,23,44,26,31,16,7,14,20,14,12,3,14
2024-04-20,Detroit Mercy,Bellarmine,Away,L,18,10,NA,18,8,26,40,25,15,12,7,14,32,10,5,15,43,28,21,14,7,18,32,10,18,18,7
2024-04-27,Detroit Mercy,Cleveland St.,Home,W,8,13,NA,8,2,10,32,21,30,20,4,17,24,13,9,22,39,23,20,8,9,7,24,13,10,8,13
2024-02-16,Drexel,UMBC,Away,L,11,10,2,11,5,16,34,20,25,17,2,13,26,10,6,16,49,25,23,11,6,13,26,10,15,11,9
2024-02-20,Drexel,Lafayette,Away,W,7,8,NA,7,5,12,36,24,29,13,7,10,19,8,4,12,42,22,25,14,8,9,19,8,14,7,17
2024-02-24,Drexel,UAlbany,Home,W,13,12,1,13,6,19,45,27,37,16,6,14,29,12,5,17,54,29,25,15,10,15,29,12,17,13,14
2024-03-02,Drexel,Sacred Heart,Home,L,12,6,NA,12,7,19,47,30,30,10,5,16,21,6,2,8,33,19,16,19,3,5,21,6,13,12,18
2024-03-05,Drexel,Villanova,Home,L,12,13,2,12,10,22,31,19,25,20,9,9,30,13,7,20,51,24,40,21,11,21,30,13,11,12,7
2024-03-10,Drexel,Saint Joseph's,Away,L,6,15,NA,6,3,9,26,10,22,20,5,16,23,15,5,20,46,29,32,11,10,7,23,15,14,6,4
2024-03-16,Drexel,Towson,Home,L,11,16,NA,11,4,15,29,18,20,17,6,13,30,16,11,27,43,28,29,15,8,17,30,16,12,11,7
2024-03-23,Drexel,Virginia,Away,L,4,14,NA,4,2,6,35,18,38,24,9,10,21,14,9,23,55,32,50,19,19,11,21,14,18,4,14
2024-03-25,Drexel,Hampton,Away,W,16,5,NA,16,8,24,56,33,52,25,14,14,24,5,1,6,40,18,29,23,11,10,24,5,13,16,17
2024-03-30,Drexel,Fairfield,Home,L,13,18,NA,13,8,21,36,22,31,21,8,18,35,18,8,26,47,32,27,16,12,17,35,18,14,13,9
2024-04-06,Drexel,Stony Brook,Away,L,8,13,NA,8,6,14,43,19,19,14,1,11,24,13,8,21,42,21,33,12,5,13,24,13,8,8,11
2024-04-13,Drexel,Hofstra,Away,L,13,12,NA,13,9,22,38,22,34,14,11,13,29,12,7,19,38,20,34,17,5,16,29,12,8,13,9
2024-04-20,Drexel,Delaware,Home,W,6,13,NA,6,2,8,38,23,24,17,3,12,24,13,7,20,56,34,38,10,9,12,24,13,21,6,17
2024-04-26,Drexel,Monmouth,Away,L,6,4,NA,6,5,11,41,20,28,19,7,9,14,4,2,6,33,17,20,18,8,5,14,4,13,6,14
2024-05-02,Drexel,Towson,Away,L,8,18,NA,8,5,13,33,19,24,14,8,10,30,18,14,32,47,26,35,14,4,20,30,18,8,8,11
2024-02-03,Duke,Bellarmine,Home,W,20,12,NA,20,11,31,62,38,38,16,8,24,35,12,9,21,40,21,20,16,5,11,35,12,9,20,18
2024-02-10,Duke,High Point,Away,W,21,9,NA,21,14,35,42,34,47,20,13,18,34,9,6,15,44,27,30,19,12,16,34,9,18,21,13
2024-02-17,Duke,Saint Joseph's,Home,W,19,10,NA,19,10,29,39,27,46,19,15,24,31,10,6,16,40,25,25,16,7,7,31,10,15,19,8
2024-02-23,Duke,Jacksonville,Home,L,23,7,NA,23,8,31,49,32,34,13,12,14,31,7,4,11,41,22,34,21,5,17,31,7,15,23,9
2024-03-01,Duke,Penn,Home,L,12,14,NA,12,6,18,47,29,33,14,11,15,29,14,10,24,42,26,32,16,8,14,29,14,12,12,17
2024-03-03,Duke,Princeton,Home,L,17,8,NA,17,7,24,47,34,28,8,10,13,28,8,5,13,40,24,33,13,6,15,28,8,16,17,17
2024-03-09,Duke,Loyola Maryland,Away,L,16,10,NA,16,9,25,41,29,36,16,12,20,30,10,4,14,25,16,28,18,6,10,30,10,6,16,13
2024-03-13,Duke,Providence,Home,L,21,6,NA,21,14,35,40,29,41,19,10,18,31,6,2,8,29,16,26,20,8,13,31,6,10,21,8
2024-03-16,Duke,Richmond,Away,W,12,3,NA,12,8,20,44,21,23,13,7,8,19,3,2,5,30,15,20,17,5,11,19,3,12,12,9
2024-03-20,Duke,Syracuse,Away,L,4,10,NA,4,1,5,36,18,24,19,3,11,17,10,8,18,36,24,26,10,6,6,17,10,14,4,14
2024-03-24,Duke,"Denver Severn, Md.",Away,W,11,7,NA,11,5,16,31,21,20,13,5,10,22,7,0,7,33,16,29,15,2,12,22,7,9,11,10
2024-03-27,Duke,Boston U.,Home,W,11,10,NA,11,5,16,50,25,35,14,7,15,25,10,5,15,41,21,23,12,4,10,25,10,11,11,14
2024-04-07,Duke,Notre Dame,Home,L,12,15,NA,12,6,18,53,26,34,16,6,15,31,15,7,22,46,25,25,13,9,16,31,15,10,12,14
2024-04-14,Duke,Virginia,Home,W,18,12,NA,18,6,24,42,23,34,18,8,14,34,12,6,18,45,25,47,15,11,20,34,12,13,18,5
2024-04-27,Duke,North Carolina,Away,W,12,15,NA,12,6,18,45,27,25,13,5,10,29,15,9,24,50,28,39,16,8,19,29,15,13,12,15
2024-05-03,Duke,"Syracuse Charlotte, NC",Away,L,18,13,NA,18,7,25,40,25,33,12,7,14,32,13,7,20,44,25,27,14,3,18,32,13,12,18,7
2024-05-05,Duke,"Notre Dame Charlotte, NC",Away,L,6,16,NA,6,5,11,29,18,17,11,3,9,25,16,9,25,36,23,28,11,4,16,25,16,7,6,12
2024-05-11,Duke,Utah,Home,L,19,7,NA,19,14,33,36,24,30,18,9,16,29,7,3,10,39,18,24,16,8,13,29,7,11,19,5
2024-05-18,Duke,"Maryland Hempstead, New York",Away,W,11,14,NA,11,7,18,28,22,22,10,10,9,29,14,6,20,39,22,36,18,2,20,29,14,8,11,11
2024-02-10,Fairfield,Lehigh,Home,L,7,8,NA,7,7,14,37,20,24,15,13,7,19,8,2,10,35,15,28,21,8,12,19,8,7,7,13
2024-02-17,Fairfield,"North Carolina Bethesda, Md.",Away,L,8,19,NA,8,0,8,35,19,29,23,6,12,31,19,11,30,56,29,44,17,13,19,31,19,10,8,11
2024-02-21,Fairfield,Sacred Heart,Away,L,9,13,NA,9,5,14,42,20,27,15,9,5,26,13,6,19,41,23,37,24,11,20,25,13,10,9,11
2024-02-24,Fairfield,Wagner,Home,L,14,9,NA,14,12,26,54,26,37,12,17,16,26,9,6,15,29,15,13,21,4,10,26,9,6,14,12
2024-03-02,Fairfield,Providence,Home,W,14,12,NA,14,10,24,28,24,21,13,4,16,30,12,7,19,47,27,21,6,6,14,30,12,15,14,10
2024-03-06,Fairfield,Bryant,Away,L,5,16,NA,5,3,8,36,23,33,12,12,12,25,16,8,24,42,25,40,15,5,13,25,16,9,5,18
2024-03-09,Fairfield,UMass Lowell,Away,W,14,6,NA,14,9,23,48,31,40,8,12,10,24,6,2,8,31,15,30,21,3,14,24,6,9,14,17
2024-03-16,Fairfield,Hofstra,Home,W,12,11,NA,12,8,20,45,27,33,16,13,13,27,11,7,18,39,21,26,19,5,14,27,11,10,12,15
2024-03-23,Fairfield,Towson,Home,L,10,12,NA,10,5,15,38,17,37,19,10,13,26,12,6,18,40,22,38,16,13,13,26,12,10,10,7
2024-03-30,Fairfield,Drexel,Away,L,18,13,NA,18,8,26,47,32,27,16,12,17,35,13,8,21,36,22,31,21,8,18,35,13,9,18,14
2024-04-06,Fairfield,Delaware,Home,W,6,14,NA,6,1,7,32,21,26,20,8,13,23,14,8,22,50,29,22,10,14,10,23,14,15,6,15
2024-04-13,Fairfield,Monmouth,Away,L,11,10,NA,11,5,16,32,19,32,20,8,10,25,10,6,16,45,22,33,20,8,15,25,10,12,11,8
2024-04-20,Fairfield,Stony Brook,Home,W,11,10,NA,11,8,19,47,24,27,16,12,12,25,10,5,15,37,20,22,17,10,13,25,10,10,11,13
2024-04-27,Fairfield,Hampton,Away,W,18,8,NA,18,13,31,46,32,41,18,12,16,30,8,6,14,29,17,35,24,11,14,30,8,9,18,14
2024-05-02,Fairfield,"Delaware Towson, Md.",Away,W,12,13,1,12,8,20,41,27,27,10,6,11,29,13,2,15,46,23,34,15,5,18,29,13,10,12,15
2024-02-03,Georgetown,Loyola Maryland,Away,W,10,18,NA,10,4,14,44,21,29,17,4,18,30,18,11,29,41,26,26,12,11,12,30,18,8,10,11
2024-02-10,Georgetown,Johns Hopkins,Home,W,9,11,NA,9,4,13,43,20,30,15,5,8,23,11,6,17,44,22,28,13,9,15,23,11,11,9,11
2024-02-17,Georgetown,Penn,Away,W,12,9,NA,12,9,21,40,23,30,15,4,17,24,9,5,14,36,21,18,10,5,7,24,9,12,12,11
2024-02-25,Georgetown,Notre Dame,Away,L,11,10,1,11,6,17,35,19,18,17,6,8,23,10,5,15,36,21,26,15,10,15,23,10,11,11,8
2024-03-02,Georgetown,Brown,Home,L,11,5,NA,11,9,20,39,22,31,16,9,10,20,5,3,8,30,19,22,15,3,10,20,5,14,11,11
2024-03-05,Georgetown,High Point,Away,W,14,8,NA,14,8,22,45,26,40,13,8,20,26,8,4,12,36,17,26,10,6,6,26,8,9,14,12
2024-03-19,Georgetown,Dartmouth,Home,L,21,9,NA,21,12,33,44,33,43,16,11,21,34,9,8,17,27,20,25,18,6,13,34,9,11,21,12
2024-03-23,Georgetown,Richmond,Away,W,14,8,NA,14,10,24,27,24,33,18,7,14,26,8,6,14,41,22,25,11,7,12,26,8,14,14,10
2024-03-30,Georgetown,Providence,Away,L,15,10,NA,15,12,27,38,27,34,13,8,18,29,10,3,13,26,16,25,16,6,11,29,10,6,15,12
2024-04-06,Georgetown,Marquette,Home,L,11,8,NA,11,6,17,33,21,28,8,9,3,22,8,4,12,37,22,25,15,2,19,22,8,14,11,10
2024-04-13,Georgetown,Denver,Away,L,8,10,NA,8,6,14,31,18,30,17,6,10,22,10,6,16,34,17,29,15,7,12,22,10,7,8,10
2024-04-20,Georgetown,St. John's (NY),Home,L,20,6,NA,20,13,33,52,40,46,9,7,18,29,6,5,11,31,21,29,15,5,11,29,6,15,20,20
2024-04-26,Georgetown,Villanova,Away,W,12,4,NA,12,10,22,43,21,31,16,11,13,19,4,2,6,19,11,21,20,11,6,19,4,7,12,9
2024-05-02,Georgetown,"Providence Villanova, Pa.",Away,L,14,13,1,14,9,23,41,23,33,14,8,14,31,13,7,20,44,21,30,14,5,17,31,13,8,14,9
2024-05-04,Georgetown,Villanova,Away,L,11,10,1,11,7,18,41,23,32,18,7,18,24,10,5,15,37,22,27,13,11,6,24,10,12,11,12
2024-05-12,Georgetown,Penn St.,Home,L,12,9,NA,12,7,19,48,25,37,12,11,12,25,9,6,15,39,19,39,18,8,13,25,9,10,12,13
2024-05-18,Georgetown,"Notre Dame Hempstead, New York",Away,W,11,16,NA,11,7,18,33,19,23,11,6,8,31,16,8,24,43,24,30,15,4,23,31,16,8,11,8
2024-02-04,Hampton,Mercer,Away,L,5,20,NA,5,2,7,35,17,26,22,2,7,27,20,9,29,52,31,52,23,5,20,27,20,11,5,12
2024-02-17,Hampton,Lafayette,Away,W,2,22,NA,2,1,3,15,8,26,23,7,3,26,22,12,34,55,40,40,15,12,23,26,22,18,2,6
2024-02-20,Hampton,VMI,Home,W,6,25,NA,6,4,10,28,19,29,23,9,10,35,25,16,41,55,42,49,18,9,25,35,25,17,6,13
2024-02-24,Hampton,Queens (NC),Away,L,7,14,NA,7,3,10,35,18,24,25,13,4,25,14,11,25,50,35,39,28,12,21,25,14,21,7,11
2024-02-27,Hampton,Bellarmine,Home,W,7,23,NA,7,3,10,38,21,27,21,13,12,31,23,15,38,54,32,48,23,11,19,31,23,9,7,14
2024-03-02,Hampton,Stony Brook,Away,W,2,23,NA,2,0,2,22,9,26,29,8,7,29,23,14,37,59,37,52,20,11,22,29,23,14,2,7
2024-03-12,Hampton,High Point,Home,W,5,27,NA,5,2,7,35,22,37,29,9,17,35,27,17,44,52,37,51,20,17,18,35,27,10,5,17
2024-03-25,Hampton,Drexel,Home,W,5,16,NA,5,1,6,40,18,29,23,11,10,24,16,8,24,56,33,52,25,14,14,24,16,17,5,13
2024-03-30,Hampton,Delaware,Home,W,3,21,NA,3,1,4,20,13,25,24,4,13,27,21,15,36,52,39,39,9,14,14,27,21,18,3,10
2024-04-06,Hampton,Monmouth,Away,L,4,15,NA,4,1,5,26,13,26,20,1,9,23,15,7,22,50,26,32,13,4,14,23,15,11,4,9
2024-04-13,Hampton,Towson,Home,L,2,25,NA,2,1,3,29,14,22,25,6,10,31,25,19,44,59,42,49,14,15,21,31,25,17,2,12
2024-04-20,Hampton,Hofstra,Away,L,5,21,NA,5,4,9,26,12,27,24,7,4,29,21,15,36,53,33,47,14,10,25,29,21,12,5,7
2024-04-27,Hampton,Fairfield,Home,W,8,18,NA,8,6,14,29,17,35,24,11,14,30,18,13,31,46,32,41,18,12,16,30,18,14,8,9
2024-02-17,Harvard,Providence,Home,L,23,7,NA,23,12,35,43,33,43,13,11,21,31,7,4,11,29,18,26,20,6,10,31,7,11,23,10
2024-02-20,Harvard,Bryant,Home,W,14,13,NA,14,10,24,40,28,29,10,12,9,30,13,4,17,40,22,37,20,1,21,30,13,9,14,14
2024-02-24,Harvard,"Bucknell Westport, Conn.",Away,L,13,12,NA,13,5,18,46,27,33,14,7,14,26,12,5,17,37,24,20,17,3,12,26,12,12,13,14
2024-02-27,Harvard,Merrimack,Home,L,23,8,NA,23,14,37,55,36,53,20,14,17,33,8,7,15,31,15,24,27,6,16,33,8,7,23,13
2024-03-02,Harvard,Vermont,Away,L,15,12,NA,15,7,22,47,34,35,15,11,15,29,12,7,19,25,21,39,21,10,14,29,12,9,15,19
2024-03-10,Harvard,Michigan,Away,L,13,11,NA,13,6,19,39,24,21,11,6,8,25,11,6,17,55,20,29,13,7,17,25,11,9,13,11
2024-03-16,Harvard,Yale,Away,W,15,17,NA,15,6,21,35,24,33,14,6,11,35,17,12,29,52,36,42,12,11,24,35,17,19,15,9
2024-03-23,Harvard,Princeton,Home,L,11,14,NA,11,7,18,32,17,18,15,6,9,29,14,8,22,54,34,36,17,5,20,29,14,20,11,6
2024-03-30,Harvard,Virginia,Home,L,10,13,NA,10,7,17,45,27,44,19,12,12,26,13,9,22,45,23,41,17,12,14,26,13,10,10,17
2024-04-06,Harvard,Dartmouth,Home,L,13,7,NA,13,9,22,47,25,43,14,14,9,24,7,2,9,33,18,38,24,6,15,24,7,11,13,12
2024-04-13,Harvard,Penn,Away,W,12,15,NA,12,5,17,38,30,22,11,8,10,30,15,13,28,45,29,31,15,2,20,30,15,14,12,18
2024-04-20,Harvard,Cornell,Away,L,8,15,NA,8,4,12,35,24,31,23,11,13,26,15,11,26,41,28,34,21,11,13,26,15,13,8,16
2024-04-27,Harvard,Brown,Home,W,11,10,NA,11,8,19,40,25,31,15,6,10,23,10,4,14,40,21,34,19,5,13,23,10,11,11,14
2024-02-03,High Point,Mercer,Home,L,14,7,NA,14,8,22,57,30,47,15,14,12,24,7,5,12,34,16,27,20,5,12,24,7,9,14,16
2024-02-10,High Point,Duke,Home,W,9,21,NA,9,6,15,44,27,30,19,12,16,34,21,14,35,42,34,47,20,13,18,34,21,13,9,18
2024-02-16,High Point,VMI,Home,L,19,9,NA,19,13,32,54,38,45,12,8,23,32,9,6,15,36,18,30,14,9,9,32,9,9,19,19
2024-02-18,High Point,Queens (NC),Away,W,17,8,NA,17,14,31,57,37,39,13,9,20,27,8,3,11,28,16,20,22,2,7,27,8,8,17,20
2024-02-24,High Point,Cleveland St.,Away,L,18,11,NA,18,10,28,38,29,42,23,12,23,33,11,4,15,27,19,27,22,9,10,33,11,8,18,11
2024-03-02,High Point,Syracuse,Away,W,13,19,NA,13,6,19,40,27,38,12,5,16,36,19,7,26,54,36,37,12,9,20,36,19,17,13,14
2024-03-05,High Point,Georgetown,Home,W,8,14,NA,8,4,12,36,17,26,10,6,6,26,14,8,22,45,26,40,13,8,20,26,14,12,8,9
2024-03-09,High Point,"Jacksonville Charlotte, NC",Away,L,9,10,NA,9,5,14,55,19,19,16,9,14,23,10,6,16,29,22,24,16,10,9,23,10,12,9,10
2024-03-12,High Point,Hampton,Away,W,27,5,NA,27,17,44,52,37,51,20,17,18,35,5,2,7,35,22,37,29,9,17,35,5,17,27,10
2024-03-23,High Point,North Carolina,Away,L,12,11,NA,12,6,18,39,20,31,19,3,16,27,11,5,16,38,22,27,13,8,11,27,11,11,12,8
2024-03-30,High Point,Saint Joseph's,Away,L,7,15,NA,7,4,11,33,22,28,21,7,12,22,15,3,18,45,29,35,13,10,10,22,15,14,7,15
2024-04-05,High Point,St. Bonaventure,Home,L,18,7,NA,18,12,30,47,28,45,15,13,19,28,7,4,11,33,18,19,17,10,9,28,7,11,18,10
2024-04-13,High Point,Richmond,Home,L,5,9,NA,5,2,7,42,17,27,18,12,15,17,9,4,13,29,18,33,17,12,2,17,9,9,5,12
2024-04-20,High Point,Hobart,Away,L,11,10,NA,11,6,17,52,24,36,16,11,11,24,10,6,16,51,23,32,16,12,13,24,10,13,11,13
2024-04-26,High Point,Massachusetts,Home,W,17,10,NA,17,13,30,41,31,34,13,9,17,31,10,4,14,38,21,29,13,6,14,31,10,11,17,14
2024-05-02,High Point,"Richmond Amherst, Mass.",Away,W,10,11,NA,10,6,16,41,20,38,21,8,17,25,11,7,18,47,22,33,14,8,8,25,11,11,10,10
