date,team,opponent,home_away,result,home_score,visitor_score,overtime,goals,assists,points,shots,sog,gb,to,ct,fo_won,f_os_taken,defensive_goals,defensive_assists,defensive_points,defensive_shots,defensive_sog,defensive_gb,defensive_to,defensive_ct,defensive_fo_won,defensive_f_os_taken,goals_allowed,saves,defensive_goals_allowed,defensive_saves
2025-03-15,Colgate,Bucknell,Home,L,17,18,NA,17,13,30,45,29,23,10,6,18,37,18,12,30,45,26,28,11,5,19,37,18,8,17,12
2025-03-22,Colgate,Syracuse,Away,W,12,16,NA,12,8,20,49,30,32,15,7,13,31,16,11,27,49,26,37,15,6,18,31,16,10,12,18
2025-03-29,Colgate,Navy,Home,L,14,9,NA,14,10,24,53,33,33,9,9,14,28,9,4,13,37,19,16,19,6,14,28,9,10,14,19
2025-04-05,Colgate,Army West Point,Home,W,7,13,NA,7,4,11,37,20,33,21,8,10,22,13,8,21,47,25,31,18,11,12,22,13,12,7,13
2025-02-15,Cornell,Lehigh,Away,L,18,10,NA,18,15,33,54,38,37,15,7,20,32,10,7,17,40,24,23,14,2,12,32,10,14,18,20
2025-02-22,Cornell,Denver,Home,L,15,5,NA,15,9,24,34,23,29,14,8,10,22,5,4,9,40,18,25,16,5,12,22,5,13,15,8
2025-02-25,Cornell,Hobart,Away,W,22,9,NA,22,15,37,58,36,40,14,9,16,35,9,5,14,48,27,34,17,7,19,35,9,18,22,14
2025-03-02,Cornell,Richmond,Away,L,12,11,NA,12,5,17,37,25,33,19,5,19,27,11,7,18,40,27,30,13,12,8,27,11,16,12,13
2025-03-08,Cornell,Penn St.,Home,L,12,13,1,12,6,18,37,16,30,14,8,11,27,13,8,21,44,22,32,12,5,16,27,13,9,12,4
2025-03-15,Cornell,Princeton,Home,W,15,10,NA,15,10,25,51,29,29,11,5,17,29,10,5,15,35,22,24,11,3,12,29,10,12,15,14
2025-03-22,Cornell,Yale,Away,L,19,14,NA,19,14,33,51,33,26,9,9,18,35,14,9,23,45,27,32,13,3,17,35,14,13,19,14
2025-03-29,Cornell,Penn,Home,L,15,5,NA,15,12,27,38,23,26,14,5,13,23,5,3,8,37,17,24,15,7,10,23,5,12,15,8
2025-04-01,Cornell,UAlbany,Home,W,18,11,NA,18,12,30,47,29,38,17,7,22,32,11,6,17,31,17,28,17,6,10,32,11,6,18,11
2025-04-05,Cornell,Brown,Away,W,13,9,NA,13,6,19,40,21,27,17,8,15,25,9,5,14,33,21,29,14,11,10,25,9,12,13,8
2025-02-15,Dartmouth,Bucknell,Home,W,13,11,NA,13,8,21,42,28,46,14,10,18,27,11,9,20,37,26,32,14,5,9,27,11,15,13,15
2025-02-18,Dartmouth,Massachusetts,Away,L,7,11,NA,7,6,13,49,17,35,17,6,11,22,11,7,18,37,22,30,14,9,11,22,11,11,7,10
2025-02-22,Dartmouth,Holy Cross,Away,W,14,4,NA,14,9,23,40,25,31,15,13,8,20,4,4,8,41,19,27,20,5,12,20,4,15,14,11
2025-02-28,Dartmouth,Vermont,Home,L,14,9,NA,14,8,22,54,32,39,14,14,14,26,9,6,15,34,17,43,22,9,12,26,9,8,14,18
2025-03-03,Dartmouth,Siena,Home,W,16,13,NA,16,9,25,41,32,47,16,14,13,33,13,9,22,46,23,40,21,8,20,33,13,10,16,16
