season,team,team_id,jersey,full_name,roster_name,first_name,last_name,yr,pos,gp,gs,goals,assists,points,shots,sog,ct,ncaa_id,fouls,ground_balls,turnovers,freepos_shots,freepos_goals,draw_controls
2022,Arizona St.,28,24.0,Maddy Hunter,Maddy Hunter,Maddy,Hunter,Sr,M,15.0,11.0,5.0,2.0,7.0,14.0,8.0,5.0,7556336,18.0,12.0,16.0,2.0,,14.0
2022,Arizona St.,28,23.0,Lia Willis,Lia Willis,Lia,Willis,Sr,M,19.0,0.0,9.0,1.0,10.0,25.0,19.0,6.0,7556337,27.0,19.0,16.0,4.0,2.0,37.0
2022,Arizona St.,28,17.0,Anna Thornton,Anna Thornton,Anna,Thornton,Fr,ATT,13.0,0.0,4.0,2.0,6.0,9.0,7.0,,7556388,4.0,1.0,6.0,1.0,1.0,
2022,Arizona St.,28,16.0,Alexa Ford,Alexa Ford,Alexa,Ford,Fr,ATT,1.0,0.0,,,0.0,,,,7556331,1.0,,,,,
2022,Arizona St.,28,8.0,McKenna Riley,McKenna Riley,McKenna,Riley,Fr,ATT,3.0,0.0,,,0.0,1.0,,,7556341,,,2.0,,,
2022,Army West Point,725,37.0,Jolie Riedell,Jolie Riedell,Jolie,Riedell,Jr,M,18.0,18.0,46.0,4.0,50.0,98.0,75.0,11.0,7318527,20.0,27.0,19.0,21.0,11.0,66.0
2022,Army West Point,725,1.0,Sidney Weigand,Sidney Weigand,Sidney,Weigand,Jr,M,18.0,18.0,10.0,4.0,14.0,29.0,21.0,5.0,7315485,13.0,20.0,11.0,6.0,2.0,1.0
2022,Army West Point,725,14.0,Marissa Massey,Marissa Massey,Marissa,Massey,So,ATT,13.0,0.0,8.0,4.0,12.0,15.0,11.0,3.0,7317067,1.0,3.0,6.0,3.0,2.0,
2022,Army West Point,725,49.0,Alli Ingraham,Alli Ingraham,Alli,Ingraham,Sr,D,15.0,15.0,,,0.0,,,13.0,7318921,22.0,19.0,3.0,,,2.0
2022,Army West Point,725,36.0,Cathleen Parker,Cathleen Parker,Cathleen,Parker,Jr,M,9.0,0.0,,,0.0,2.0,,,7319961,1.0,,2.0,,,3.0
2022,Army West Point,725,12.0,Brooke Allen,Brooke Allen,Brooke,Allen,Sr,GK,8.0,1.0,,,0.0,,,,7315860,,7.0,,,,
2022,Army West Point,725,29.0,Moira Callahan,Moira Callahan,Moira,Callahan,Sr,ATT,17.0,1.0,8.0,6.0,14.0,18.0,13.0,,7320105,2.0,3.0,5.0,3.0,3.0,
2022,Army West Point,725,11.0,Malina Hatton,Malina Hatton,Malina,Hatton,Jr,M,18.0,18.0,,1.0,1.0,,,17.0,7315949,24.0,23.0,7.0,,,1.0
2022,Army West Point,725,34.0,Sofia Micklovic,Sofia Micklovic,Sofia,Micklovic,So,D,4.0,0.0,,,0.0,,,,7319341,1.0,2.0,1.0,,,
2022,Army West Point,725,5.0,Madeline Lenkart,Madeline Lenkart,Madeline,Lenkart,So,M,11.0,1.0,1.0,,1.0,4.0,4.0,,7317553,2.0,3.0,1.0,,,2.0
2022,Army West Point,725,44.0,Lacey Bartholomay,Lacey Bartholomay,Lacey,Bartholomay,So,GK,18.0,17.0,,,0.0,,,1.0,7319391,,28.0,3.0,,,
2022,Army West Point,725,20.0,Emma Hampel,Emma Hampel,Emma,Hampel,Sr,M,16.0,12.0,1.0,1.0,2.0,3.0,3.0,9.0,7320317,10.0,21.0,5.0,1.0,,2.0
2022,Army West Point,725,46.0,Ceara Sweeney,Ceara Sweeney,Ceara,Sweeney,Sr,M,18.0,18.0,1.0,3.0,4.0,5.0,4.0,11.0,7315108,29.0,32.0,17.0,2.0,,34.0
2022,Army West Point,725,22.0,Madison Warne,Madison Warne,Madison,Warne,Jr,M,9.0,0.0,6.0,,6.0,12.0,10.0,,7316722,,2.0,1.0,4.0,3.0,
2022,Army West Point,725,6.0,Evelyn Pickett,Evelyn Pickett,Evelyn,Pickett,Jr,M,15.0,14.0,,,0.0,,,5.0,7315244,13.0,15.0,9.0,,,1.0
2022,Army West Point,725,39.0,Paige Lennon,Paige Lennon,Paige,Lennon,Jr,M,12.0,3.0,,1.0,1.0,,,7.0,7314344,5.0,9.0,1.0,,,1.0
2022,Army West Point,725,3.0,Julia Gorajek,Julia Gorajek,Julia,Gorajek,So,M,18.0,18.0,52.0,18.0,70.0,112.0,80.0,5.0,7314471,25.0,14.0,32.0,15.0,6.0,15.0
2022,Army West Point,725,48.0,Kathleen Sullivan,Kathleen Sullivan,Kathleen,Sullivan,Jr,ATT,18.0,18.0,46.0,31.0,77.0,100.0,81.0,4.0,7312682,18.0,9.0,37.0,18.0,12.0,3.0
2022,Army West Point,725,27.0,Daphne Karahalios,Daphne Karahalios,Daphne,Karahalios,So,D,7.0,0.0,,,0.0,1.0,1.0,1.0,7314159,,1.0,,,,1.0
2022,Army West Point,725,21.0,Caroline Raymond,Caroline Raymond,Caroline,Raymond,Sr,ATT,16.0,15.0,28.0,15.0,43.0,57.0,43.0,10.0,7311203,12.0,16.0,15.0,12.0,7.0,55.0
2022,Army West Point,725,47.0,Carleigh Armstrong,Carleigh Armstrong,Carleigh,Armstrong,So,ATT,18.0,2.0,45.0,,45.0,87.0,65.0,2.0,7312200,5.0,9.0,13.0,10.0,6.0,2.0
2022,Army West Point,725,38.0,Margaret Williams,Margaret Williams,Margaret,Williams,Jr,M,2.0,0.0,,,0.0,1.0,1.0,,7312257,,,,,,
2022,Army West Point,725,45.0,Taylor Miller,Taylor Miller,Taylor,Miller,Jr,GK,3.0,0.0,,,0.0,,,,7312326,1.0,2.0,,,,
2022,Army West Point,725,26.0,Julia Franzoni,Julia Franzoni,Julia,Franzoni,Jr,M,18.0,18.0,5.0,,5.0,8.0,7.0,1.0,7311481,15.0,3.0,4.0,,,64.0
2022,Army West Point,725,18.0,Olivia Carter,Olivia Carter,Olivia,Carter,Sr,ATT,9.0,0.0,2.0,2.0,4.0,9.0,7.0,1.0,7313657,1.0,2.0,6.0,1.0,,
2022,Army West Point,725,28.0,Amara Higgins,Amara Higgins,Amara,Higgins,Fr,,4.0,0.0,,,0.0,,,1.0,7579509,,,,,,
2022,Army West Point,725,7.0,Gabrielle Mirak,Gabrielle Mirak,Gabrielle,Mirak,Fr,,13.0,0.0,4.0,2.0,6.0,11.0,11.0,3.0,7575843,9.0,2.0,2.0,3.0,,5.0
2022,Army West Point,725,32.0,Alyce Smith,Alyce Smith,Alyce,Smith,N/A,,4.0,0.0,1.0,1.0,2.0,4.0,4.0,,7586424,,,1.0,1.0,,
2022,Army West Point,725,17.0,Haley Kampert,Haley Kampert,Haley,Kampert,Fr,,15.0,8.0,,,0.0,,,5.0,7575880,7.0,5.0,3.0,,,
2022,Army West Point,725,24.0,Meghan McLaughlin,Meghan McLaughlin,Meghan,McLaughlin,N/A,,4.0,0.0,1.0,,1.0,2.0,2.0,,7586423,1.0,1.0,1.0,,,
2022,Army West Point,725,15.0,Catherine Theut,Catherine Theut,Catherine,Theut,Fr,,4.0,0.0,,,0.0,,,1.0,7596605,,1.0,,,,
2022,Binghamton,62,28.0,Jordan Taylor,Jordan Taylor,Jordan,Taylor,Sr,ATT,6.0,1.0,,,0.0,,,1.0,7315359,1.0,,1.0,,,
2022,Binghamton,62,6.0,Paloma Blatter,Paloma Blatter,Paloma,Blatter,So,D,1.0,0.0,,,0.0,,,,7316865,,1.0,,,,
2022,Binghamton,62,39.0,Kristen Scheidel,Kristen Scheidel,Kristen,Scheidel,So,M,16.0,9.0,13.0,5.0,18.0,25.0,17.0,8.0,7317094,11.0,20.0,12.0,10.0,6.0,41.0
2022,Binghamton,62,9.0,Madeleine Juliano,Madeleine Juliano,Madeleine,Juliano,Sr,ATT,2.0,0.0,,,0.0,1.0,,,7320002,,,1.0,,,
2022,Binghamton,62,0.0,Emily Manning,Emily Manning,Emily,Manning,Jr,GK,16.0,16.0,,,0.0,,,3.0,7319165,,28.0,3.0,,,
2022,Binghamton,62,30.0,Gabriella Meli,Gabriella Meli,Gabriella,Meli,So,ATT,2.0,0.0,,,0.0,,,,7314858,,,1.0,,,
2022,Binghamton,62,8.0,Sofia Salgado,Sofia Salgado,Sofia,Salgado,So,GK,3.0,0.0,,,0.0,,,,7320186,,,1.0,,,
2022,Binghamton,62,11.0,Gabrielle Marshall,Gabrielle Marshall,Gabrielle,Marshall,Sr,D,16.0,16.0,,,0.0,,,10.0,7316064,13.0,17.0,8.0,,,
2022,Binghamton,62,19.0,Hayley Weltner,Hayley Weltner,Hayley,Weltner,So,M,16.0,6.0,15.0,4.0,19.0,40.0,25.0,7.0,7316701,7.0,19.0,10.0,5.0,1.0,50.0
2022,Binghamton,62,26.0,Sidra Morchower,Sidra Morchower,Sidra,Morchower,Sr,ATT,8.0,1.0,6.0,1.0,7.0,9.0,7.0,,7316737,,2.0,2.0,3.0,2.0,
2022,Binghamton,62,18.0,Cassidy Evans,Cassidy Evans,Cassidy,Evans,Jr,M,16.0,15.0,,,0.0,,,10.0,7313407,26.0,21.0,7.0,,,1.0
2022,Binghamton,62,23.0,Sofia Afkham,Sofia Afkham,Sofia,Afkham,Sr,M,16.0,15.0,3.0,1.0,4.0,5.0,3.0,3.0,7311980,18.0,5.0,7.0,,,76.0
2022,Binghamton,62,15.0,Annabelle Conover,Annabelle Conover,Annabelle,Conover,Jr,M,4.0,0.0,1.0,,1.0,3.0,1.0,,7314322,,1.0,,,,
2022,Binghamton,62,21.0,Emily Masera,Emily Masera,Emily,Masera,Sr,ATT,16.0,16.0,17.0,10.0,27.0,40.0,30.0,1.0,7314328,8.0,7.0,24.0,9.0,3.0,
2022,Binghamton,62,4.0,Rebecca Korn,Rebecca Korn,Rebecca,Korn,Jr,ATT,8.0,0.0,,,0.0,2.0,1.0,,7311641,,,2.0,1.0,,
2022,Binghamton,62,34.0,Madison Murphy,Madison Murphy,Madison,Murphy,So,M,15.0,14.0,25.0,5.0,30.0,47.0,38.0,2.0,7312071,9.0,12.0,18.0,9.0,5.0,
2022,Binghamton,62,33.0,Kenna Newman,Kenna Newman,Kenna,Newman,Jr,ATT,16.0,16.0,26.0,18.0,44.0,55.0,40.0,1.0,7311227,8.0,8.0,26.0,11.0,3.0,1.0
2022,Binghamton,62,24.0,Jamie Golderman,Jamie Golderman,Jamie,Golderman,Jr,M,16.0,1.0,,,0.0,1.0,1.0,7.0,7312331,13.0,16.0,8.0,,,4.0
2022,Binghamton,62,27.0,Isabella Meli,Isabella Meli,Isabella,Meli,Jr,M,12.0,0.0,4.0,3.0,7.0,18.0,11.0,,7312835,1.0,2.0,10.0,7.0,1.0,
2022,Binghamton,62,29.0,Amanda Padrazo,Amanda Padrazo,Amanda,Padrazo,So,ATT,2.0,0.0,,,0.0,,,1.0,7312900,,1.0,1.0,,,
2022,Binghamton,62,10.0,Paige Alletzhauser,Paige Alletzhauser,Paige,Alletzhauser,Jr,D,16.0,16.0,,,0.0,,,13.0,7311407,14.0,19.0,5.0,,,
2022,Binghamton,62,5.0,Jesse Barer,Jesse Barer,Jesse,Barer,So,M,16.0,2.0,13.0,11.0,24.0,38.0,28.0,9.0,7313103,24.0,13.0,14.0,21.0,8.0,14.0
2022,Binghamton,62,17.0,Olivia Cosgrove,Olivia Cosgrove,Olivia,Cosgrove,So,ATT,1.0,0.0,,,0.0,,,,7313159,,,1.0,,,
