Season,Team,jersey,Full Name,Roster Name,First Name,Last Name,Year,Position,Jersey Number,Games Played,Games Started,Goals,Assists,Points,Shots,Shots on Goal,Ground Balls,Turnovers,Caused Turnovers,Faceoffs Won,Faceoffs Taken,NCAA id
2025,Army West Point,52,Sam Ralston,Sam Ralston,Sam,Ralston,Fr,D,52,2,0,0,0,0,0,0,0,0,0,0,0,9214611
2025,Army West Point,44,Will Gray,Will Gray,Will,Gray,Fr,SSDM,44,2,0,0,0,0,0,0,1,0,0,0,0,9214602
2025,Army West Point,42,Jack Manero,Jack Manero,Jack,Manero,Fr,M,42,2,0,0,0,0,1,0,0,1,0,0,0,9214593
2025,Army West Point,28,Thor Swanson,Thor Swanson,Thor,Swanson,Fr,M,28,2,0,0,0,0,0,0,1,0,0,0,0,9214582
2025,Army West Point,26,Ronan Loughman,Ronan Loughman,Ronan,Loughman,Fr,M,26,2,0,0,2,2,0,0,1,1,0,0,0,9214578
2025,Army West Point,25,Patrick Murphy,Patrick Murphy,Patrick,Murphy,Fr,FO,25,2,0,0,0,0,0,0,2,1,1,3,6,9214576
2025,Army West Point,90,Jimmy Manley,Jimmy Manley,Jimmy,Manley,Fr,D,90,1,0,0,0,0,0,0,0,0,0,0,0,9214617
2025,Army West Point,48,John Majka,John Majka,John,Majka,Fr,M,48,1,0,0,0,0,0,0,0,0,0,0,0,9214606
2025,Army West Point,49,Connor Guibord,Connor Guibord,Connor,Guibord,Fr,M,49,1,0,0,0,0,0,0,0,0,0,0,0,9214608
2025,Army West Point,50,Mack Carter,Mack Carter,Mack,Carter,Jr,M,50,1,0,0,0,0,2,0,0,0,0,0,0,8774907
2025,Army West Point,46,Brendan McCrary,Brendan McCrary,Brendan,McCrary,Jr,D,46,1,0,0,0,0,0,0,0,0,0,0,0,8769304
2025,Army West Point,30,Brian King,Brian King,Brian,King,Sr,D,30,1,0,0,0,0,0,0,0,0,0,0,0,8759782
2025,Army West Point,15,Mitch Gutgsell,Mitch Gutgsell,Mitch,Gutgsell,Sr,GK,15,1,0,0,0,0,0,0,0,0,0,0,0,8764635
2025,Army West Point,19,Johnny Devino,Johnny Devino,Johnny,Devino,Sr,M,19,1,0,0,0,0,1,0,0,0,0,0,0,8767195
2025,Bellarmine,31,Jackson Campisano,Jackson Campisano,Jackson,Campisano,So,D,31,13,0,1,1,2,5,3,17,5,5,0,0,8769131
2025,Bellarmine,33,Christopher Reynolds,Christopher Reynolds,Christopher,Reynolds,Jr,D,33,13,13,0,0,0,1,1,27,12,13,0,0,8767921
2025,Bellarmine,25,Joe Alie,Joe Alie,Joe,Alie,Fr,ATT,25,13,9,25,5,30,51,39,7,6,1,0,0,9106604
2025,Bellarmine,37,Aidan Fearn,Aidan Fearn,Aidan,Fearn,Sr,FO,37,13,1,0,1,1,0,0,39,4,1,86,170,8771504
2025,Bellarmine,2,Nicholas Sheremetta,Nicholas Sheremetta,Nicholas,Sheremetta,Sr,D,2,13,13,1,0,1,1,1,17,7,4,0,0,8764197
2025,Bellarmine,10,Justin Wescoat,Justin Wescoat,Justin,Wescoat,Sr,M,10,13,13,16,8,24,54,39,5,17,2,0,0,8760253
2025,Bellarmine,8,Jaden Wilkins,Jaden Wilkins,Jaden,Wilkins,Sr,M,8,13,7,0,0,0,1,1,9,4,2,0,0,8764842
2025,Bellarmine,12,Cole Messick,Cole Messick,Cole,Messick,Sr,FO,12,13,0,1,0,1,1,1,18,4,0,49,96,8762691
2025,Bellarmine,22,Sam Boylston,Sam Boylston,Sam,Boylston,Fr,M,22,13,0,0,1,1,13,5,1,7,0,0,0,9106603
2025,Bellarmine,45,Nolan Hudnut,Nolan Hudnut,Nolan,Hudnut,Fr,GK,45,13,13,0,0,0,0,0,17,6,2,0,0,9106614
2025,Bellarmine,99,Brady Long,Brady Long,Brady,Long,Sr,D,99,13,10,0,0,0,2,0,24,9,9,0,0,8778147
2025,Bellarmine,23,John Alie,John Alie,John,Alie,Jr,M,23,13,13,40,22,62,105,76,16,19,5,0,0,8762428
2025,Bellarmine,53,Michael Blaymires,Michael Blaymires,Michael,Blaymires,Jr,M,53,13,8,16,6,22,43,29,7,21,3,0,0,8763799
2025,Bellarmine,3,Ty Washington,Ty Washington,Ty,Washington,Fr,ATT,3,13,0,5,2,7,25,13,5,8,1,0,0,9106594
2025,Bellarmine,1,Ezra Moore,Ezra Moore,Ezra,Moore,Fr,ATT,1,13,13,19,20,39,78,45,17,42,2,0,0,9106593
2025,Bellarmine,27,Jack Love,Jack Love,Jack,Love,Jr,LSM,27,13,0,0,0,0,1,0,4,1,2,0,0,8774392
2025,Bellarmine,20,Ethan Tunucci,Ethan Tunucci,Ethan,Tunucci,Jr,ATT,20,12,2,5,1,6,9,9,5,7,1,0,0,8778129
2025,Bellarmine,6,John Imperato,John Imperato,John,Imperato,Sr,M,6,12,1,1,0,1,2,2,2,5,0,0,0,8765122
2025,Bellarmine,4,Robert MacMichael,Robert MacMichael,Robert,MacMichael,So,D,4,12,0,0,0,0,2,0,18,4,0,0,0,8768199
2025,Bellarmine,15,Alex Coco,Alex Coco,Alex,Coco,Sr,M,15,12,0,0,0,0,1,1,2,2,3,0,0,9106590
2025,Bellarmine,32,Luke Healy,Luke Healy,Luke,Healy,So,ATT,32,11,1,1,4,5,9,3,6,6,2,0,0,8764625
2025,Bellarmine,7,Leo Prosser,Leo Prosser,Leo,Prosser,Fr,ATT,7,11,0,3,2,5,13,7,3,4,0,0,0,9106599
2025,Bellarmine,40,Matt Kirton,Matt Kirton,Matt,Kirton,So,D,40,11,8,2,0,2,2,2,29,10,14,0,0,8760792
2025,Bellarmine,11,Nick Ferge,Nick Ferge,Nick,Ferge,Jr,LSM,11,10,2,3,0,3,4,4,11,5,6,0,0,8763792
2025,Bellarmine,49,Grant Guthrie,Grant Guthrie,Grant,Guthrie,Jr,FO,49,10,0,0,0,0,0,0,9,1,0,24,62,8770899
